body,head,train_support,train_body_pairs,train_confidence,head_coverage,test_body_pairs,test_support,test_confidence
R26,R23,4,265,0.01509433962264151,0.0036199095022624436,66,1,0.015151515151515152
R26,R24,3,265,0.011320754716981131,0.006134969325153374,66,0,0.0
R29,R11,4,65,0.06153846153846154,0.002863278453829635,21,2,0.09523809523809523
R29,R23,3,65,0.046153846153846156,0.0027149321266968325,21,2,0.09523809523809523
R30,R15,4,240,0.016666666666666666,0.007312614259597806,65,0,0.0
R30,R34,23,240,0.09583333333333334,0.06353591160220995,65,7,0.1076923076923077
R31,R23,8,183,0.04371584699453552,0.007239819004524887,65,5,0.07692307692307693
R31,R38,3,183,0.01639344262295082,0.018404907975460124,65,1,0.015384615384615385
R32,R05,5,67,0.07462686567164178,0.005197505197505198,8,0,0.0
R34,R16,3,362,0.008287292817679558,0.023809523809523808,97,0,0.0
R34,R18,3,362,0.008287292817679558,0.0084985835694051,97,0,0.0
R34,R25,6,362,0.016574585635359115,0.03278688524590164,97,0,0.0
R34,R30,23,362,0.06353591160220995,0.09583333333333334,97,7,0.07216494845360824
R34,R56,5,362,0.013812154696132596,0.025380710659898477,97,2,0.020618556701030927
R36,R11,3,223,0.013452914798206279,0.0021474588403722263,55,1,0.01818181818181818
R38,R05,6,163,0.03680981595092025,0.006237006237006237,56,0,0.0
R38,R09,3,163,0.018404907975460124,0.002243829468960359,56,0,0.0
R38,R11,12,163,0.0736196319018405,0.008589835361488905,56,2,0.03571428571428571
R38,R23,4,163,0.024539877300613498,0.0036199095022624436,56,0,0.0
R38,R31,3,163,0.018404907975460124,0.01639344262295082,56,1,0.017857142857142856
R39,R50,5,164,0.03048780487804878,0.043859649122807015,51,1,0.0196078431372549
R39,R51,7,164,0.042682926829268296,0.046052631578947366,51,1,0.0196078431372549
R40,R03,3,430,0.0069767441860465115,0.033707865168539325,79,2,0.02531645569620253
R40,R05,8,430,0.018604651162790697,0.008316008316008316,79,0,0.0
R40,R08,7,430,0.01627906976744186,0.02108433734939759,79,1,0.012658227848101266
R40,R09,13,430,0.030232558139534883,0.009723261032161555,79,3,0.0379746835443038
